# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
40435243 35.11365 35.08100 35.21893  -52.69   27.88  124.23    4.30    4.09 1.9859e+06 4.2085e+06 3.27465 0.23668 0.72110   1.009  307.56      126 40440170 40440170
40435250 35.16651 35.14159 35.18601 -165.09   78.06   75.94    4.72    5.39 2.269e+06 1.0552e+07 3.42394 0.22787 0.33930   5.893  1126.2      263 40440170 40440170
40435252 35.19877 35.07675 35.22356  -76.47  121.01   36.94    3.89    4.01 1.3239e+06 5.0277e+06 2.86056 0.23572 0.33930  1.4197  395.37      194 40440170 40440170
40435253 35.21656 35.12454 35.19627  -56.70   91.31   12.19    4.09    4.35 1.2293e+06 2.1042e+06 2.79155 0.17667 0.69460 0.26662  115.58       84 40440170 40440170
40435254 35.19701 35.10255 35.19982  -43.73   64.11  104.58    7.71    8.46 1.253e+07 1.7915e+07 6.05211 0.41217 0.84060  16.284  2378.1      961 40440170 40440170
40435255 35.19393 35.05958 35.25183  -61.27   31.68   18.36    4.10    4.22 1.7014e+06 3.0019e+06 3.11127 0.20517 0.32930 0.52741  190.87      141 40440170 40440170
40435256 35.17846 35.07507 35.29228  -43.87   69.12   60.33    3.22    5.76 1.2293e+06 1.0465e+07 2.79155 0.22587 0.30280  5.8007  1113.2      114 40440170 40440170
40435262 35.21869 35.12654 35.22711 -108.22   75.15   20.55    6.71    9.56 6.1704e+06 4.9976e+07 4.77887 0.34763 0.20000  116.73   10123      295 40440170 40440170
40435265 35.17365 35.14125 35.21863  -61.57   72.25   18.13    4.75    5.27 2.3873e+06 3.6169e+06 3.48310 0.20257 0.70780 0.75434  248.34      398 40440170 40440170
40435266 35.17775 35.19248 35.20454  -79.63   88.78   91.76    3.75    4.82 6.6197e+05 1.3239e+06 2.27042 0.10866 0.84060 0.10953  60.083       41 40440170 40440170
40435269 35.19218 35.20223 35.27645  -88.03   68.15   -7.99    3.17    3.52 5.4366e+05 2.5845e+06 2.12676 0.17212 0.35260 0.39566  154.51       52 40440170 40440170
40435270 35.19159 35.17466 35.28627  -46.14  107.53   19.44    3.31    4.69 9.693e+05 6.5482e+06 2.57887 0.28810 0.30280  2.3578  574.16      115 40436178 40440170
40435276 35.21434 35.18373 35.33541 -152.98   90.37  -10.44    4.39    4.52 3.9958e+06 9.4324e+06 4.13521 0.54429 0.36590  4.7515  961.25      290 40440126 40440170
40435280 34.98325 35.00642 35.36862 -116.04   94.06   84.83    3.06    3.30 3.9014e+06 5.3193e+06 4.10141 0.64239 0.76100  1.5819  428.13      427       -1       -1
40435281 35.17825 35.03415 35.33156 -129.14  111.78   92.95    4.19    4.42 3.593e+06 6.2887e+06 3.99155 0.51428 0.43230  2.1817   542.3      191 40439978 40440170
40435286 35.15534 35.04803 35.36779  -70.41  118.75   89.45    4.24    4.93 2.269e+06 4.6653e+06 3.42394 0.28891 0.33930  1.2297  355.73      102 40440170 40440170
40435294 35.20148 35.21348 35.40235  -49.98  114.04   79.01    3.91    4.64 2.0338e+06 6.5254e+06 3.30141 0.28640 0.40570  2.3421  571.34      282 40440170 40440170
40435300 35.23645 35.19742 35.25789  -55.86   19.12   21.67    3.04    3.78 5.9099e+05 6.1465e+05 2.18732 0.22029 0.94020 0.025103  20.333       38 40440170 40440170
40435302 35.22285 35.16931 35.32503 -147.93  144.93  -44.35   14.64   16.22 2.2085e+08 4.7831e+08 15.74930 1.22114 0.57500  8924.8 2.4568e+05    21151 40440170 40440170
40435304 35.14155 35.20859 35.04868  -50.73  -44.86   28.01    3.24    3.22 3.7352e+06 4.0822e+06 4.04366 0.51473 0.86720 0.95163  294.61      425 40440170 40440170
40435305 35.13056 35.12720 35.02383  -10.18  -31.69  182.15    4.07    4.02 3.7352e+06 5.6897e+06 4.04366 0.30646 0.50860  1.8002  470.82      324 40440170 40440170
40435307 35.18275 35.17042 34.97879  -47.94  -28.57  164.61    6.28    6.33 1.4732e+07 2.2225e+07 6.38732 0.49176 0.44560  24.632  3224.2      657 40440170 40440170
40435308 35.16844 35.16759 34.98832  -48.04  -35.78  165.55   13.06   13.01 1.6254e+08 1.9624e+08 14.21972 1.06818 0.47210  1613.3   69837     9593 40440170 40440170
40435313 35.06652 35.10789 35.05861 -115.14    5.11   79.77    3.27    3.52 2.1507e+06 3.9009e+06 3.36338 0.35078 0.68130 0.87218  276.31      137 40440170 40440170
40435314 35.05831 35.11273 35.05708 -125.26    4.71   75.93    5.31    5.72 3.0732e+07 4.1174e+07 8.16197 0.97387 0.84060  80.469  7700.4     2575 40440170 40440170
40435315 35.11273 35.10062 35.03218  -79.96   -6.79   44.82    3.22    3.48 5.1775e+06 6.0286e+06 4.50845 0.52050 0.86720  2.0118   510.9      641 40440170 40440170
40435319 35.08725 35.14672 35.06506 -128.64  -13.01   70.68    4.25    4.10 9.8817e+06 1.0835e+07 5.59155 0.60715 0.86720  6.2008  1169.1      868 40440170 40440170
40435320 35.09411 35.15252 35.06800 -130.36  -18.93   71.67    3.42    3.53 4.9887e+06 5.3901e+06 4.45211 0.80128 0.85390  1.6227   436.2      404 40440170 40440170
40435326 35.11717 35.19806 35.07530 -149.16  -30.98   59.12    3.60    3.73 7.4704e+06 8.3136e+06 5.09437 0.78556 0.91370  3.7287  804.29     1264 40440170 40440170
40435328 35.22831 35.19138 35.00148 -122.53   -9.47   19.66    3.90    4.24 4.7521e+06 5.769e+06 4.38028 0.31441 0.85390  1.8487  480.12      623 40440170 40440170
40435335 35.19807 35.16863 35.02642 -173.43  260.97   43.93    3.67    3.44 8.2268e+06 9.1965e+06 5.26056 0.94134 0.89380   4.526  927.48      799 40440170 40440170
40435337 35.19032 34.97494 35.02117  -58.92  147.10   56.41    3.55    3.59 1.3475e+06 1.7653e+06 2.87746 0.21820 0.74770  0.1903  90.191      151       -1       -1
40435341 35.21175 34.94414 35.06135  -68.27  121.18   34.54    3.11    2.93 1.1111e+06 1.5606e+06 2.69859 0.22050 0.69460  0.1502  75.785      108       -1       -1
40435344 35.18269 34.97415 35.07830  -67.41  158.62   45.50    4.17    4.01 3.1915e+06 4.2549e+06 3.83662 0.24548 0.68130  1.0305  312.37      370       -1       -1
40435348 35.13594 34.92080 35.14211  -57.12  248.91   -8.72    3.11    3.11 3.1211e+06 3.1211e+06 3.80845 0.63962 1.00000 0.56838  201.67      198       -1       -1
40435360 35.07744 35.08239 35.10986 -115.59  144.10   65.01    4.27    5.45 3.1915e+06 1.234e+07 3.83662 0.36756 0.30280  7.9599  1404.8      218 40440170 40440170
40435364 35.06152 35.16186 34.92344 -154.43   96.34   91.32    4.88    5.24 1.2979e+07 1.5991e+07 6.12394 1.18084 0.54850  13.091  2025.5      898       -1       -1
40435370 35.09024 35.18518 34.95686 -171.50  123.51   86.57   12.08   12.33 1.962e+08 2.3704e+08 15.14085 1.86678 0.80080  2318.5   91180    13901       -1       -1
40435372 35.18630 35.13879 34.90575 -150.37   77.21   78.92   13.67   13.53 3.1563e+08 3.6048e+08 17.74085 1.24553 0.80080  5185.3 1.648e+05    17759       -1       -1
40435376 35.18103 35.20569 35.01513 -189.86  120.48   24.05    3.17    2.69 1.2766e+06 1.4814e+06 2.82676 0.24255 0.85390  0.1359  70.412       62 40440170 40440170
40435377 35.18652 35.20013 35.01266 -186.25  114.70   27.09    6.67    6.64 2.2746e+07 2.3976e+07 7.38310 0.61183 0.85390  28.494  3588.6     1694 40440170 40440170
40435380 35.22665 35.20446 35.03817 -200.92  107.93    5.29    4.84    4.91 8.1563e+06 8.4869e+06 5.24507 0.30758 0.86720  3.8793  828.06      807 40440170 40440170
40435388 35.19463 34.98231 35.02842  -66.17  153.60   54.14    3.48    3.26 1.3475e+06 1.9389e+06 2.87746 0.26865 0.69460 0.22785  102.97      118       -1       -1
40435390 35.18458 34.97138 34.99992  -49.05  173.51   83.58    4.63    4.63 4.4915e+06 5.6657e+06 4.30000 0.31357 0.70780  1.7857  468.02      396       -1       -1
40435392 35.17855 34.99089 34.97401  -45.06  202.36  124.51    3.49    3.46 1.7254e+06 2.2455e+06 3.12535 0.26760 0.62820 0.30206  126.69       85       -1       -1
40435395 35.18969 35.01835 35.06224  -53.02  156.42   82.70    5.54    6.10 4.4451e+06 1.5601e+07 4.28451 0.32153 0.35260  12.486  1956.1      348 40440170 40440170
40435400 35.23520 35.17982 35.02101 -169.26  212.11   42.87    3.59    3.31 2.0338e+06 2.3798e+06 3.30141 0.26890 0.85390 0.33769  137.51      240 40646518 40440170
40435402 35.17689 35.11875 34.99079  -45.29  139.44   76.01    3.98    4.95 2.0338e+06 8.2108e+06 3.30141 0.21773 0.33930  3.6406  790.28      117 40440170 40440170
40435407 35.21003 35.15887 35.10782 -113.75  200.66   97.22    3.85    4.08 1.3711e+06 4.539e+06 2.89437 0.10310 0.30280  1.1666  342.21       62 40440170 40440170
40435430 35.21727 35.20403 35.20555  -47.13  170.01 -208.61    4.50    4.32 1.3475e+06 3.7066e+06 2.87746 0.18598 0.74770 0.79065  257.08       82 40440170 40440170
40435433 35.22056 35.15087 35.22711 -136.69  272.34  -85.86    5.81    6.83 5.0113e+06 1.5831e+07 4.45915 0.29867 0.31610  12.841    1997      316 40440170 40440170
40435434 35.18355 35.18342 35.23542  -93.79  148.98 -153.46    3.33    3.51 1.182e+06 2.8446e+06 2.75493 0.29361 0.33930 0.47564  176.91       81 40440170 40440170
40435435 35.21682 35.16354 35.19515  -46.20  171.15 -153.36    5.36    4.99 4.6338e+06 8.5812e+06 4.34366 0.24461 0.36590  3.9625  841.09      242 40437559 40440170
40435454 35.21024 35.20854 35.19239 -116.45  324.61  -75.74    4.47    5.11 2.0563e+06 2.8606e+06 3.31408 0.26946 0.85390 0.48078  178.31      134 40440170 40440170
